Dentigloborotalia_anfracta,Globorotalia_cavernula,Globorotalia_crassaformis,Globorotalia_hirsuta,Globorotalia_menardii,Globorotalia_scitula,Globorotalia_tumida,Globorotalia_ungulata,Globorotalia_theyeri,Globoconella_inflata,Neogloboquadrina_dutertrei,Neogloboquadrina_incompta,Neogloboquadrina_pachyderma,Pulleniatina_obliquiloculata,Globoquadrina_conglomerata,Globorotaloides_hexagonus,Berggrenia_pumilio,Globigerina_bulloides,Globigerina_falconensis,Globigerinoides_conglobatus,Globigerinoides_ruber,Globigerinoides_white,Globigerinoides_tenellus,Orbulina_universa,Beella_digitata,Globigerinella_siphonifera,Globigerinella_calida,Globigerinella_adamsi,Turborotalita_quinqueloba,Turborotalita_humilis,Globoturborotalita_rubescens,Sphaeroidinella_dehiscens,Candeina_nitida,Globigerinita_glutinata,Globigerinita_uvula,Globigerinita_minuta,Tenuitella_iota,Hastigerina_pelagica,Hastigerinella_digitata,Globorotalia_truncatulinoides_dextral_coiling,Globorotalia_truncatulinoides_sinistral_coiling,Trilobatus_sacculifer_w_sac_chamber,Trilobatus_sacculifer_wo_sac_chamber,unidentified,Temp_mediaAnual
0,0,0,0,0,0,0,0,0,0.057522124,0,0.024637973,0.858708769,0,0,0,0,0.058527755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000603379,0,0,0,3.46775
0,0,0,0,0,0,0,0,0,0.317507418,0,0.010385757,0.572700297,0,0,0,0,0.074183976,0,0,0,0,0,0,0,0,0,0,0.007418398,0,0,0,0,0,0,0,0,0,0,0,0.004451039,0,0,0.013353116,3.815
0,0,0,0,0,0,0,0,0,0.329376855,0,0.014836795,0.560830861,0,0,0,0,0.078635015,0.002967359,0,0,0,0,0,0,0,0,0,0.004451039,0,0,0,0,0,0,0,0,0,0,0,0.005934718,0,0,0.002967359,3.81626
0,0,0,0,0,0,0,0,0,0.020607157,0,0.030960997,0.896964214,0,0,0,0,0.041214314,0,0,0,0,0,0,0,0,0,0,0.005126659,0,0,0,0,0.005126659,0,0,0,0,0,0,0,0,0,0,2.50088
0,0,0,0,0,0,0,0,0,0.209,0.003,0.03,0.47,0,0,0,0,0.234,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0.011,0,0,0,0,0,0,0.033,0,0,0.005,6.29389
0,0,0,0,0,0,0,0,0,0.206043956,0.010989011,0.032967033,0.456043956,0,0,0,0,0.225274725,0.013736264,0,0,0,0,0,0,0,0,0,0.002747253,0,0,0,0,0.010989011,0,0,0,0,0,0,0.032967033,0,0,0.008241758,6.29302
0,0,0.005,0,0,0,0,0,0,0.085,0,0.027,0.633,0,0,0,0,0.194,0.008,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0.013,0,0,0,0,0,0,0.013,0,0,0.014,5.96323
0,0,0,0,0,0,0,0,0,0.062663185,0,0.03344045,0.820245029,0,0,0,0,0.076019281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007531633,0,0,0,0,0,0,0.000100422,0,0,0,3.70327
0,0,0,0,0,0,0,0,0,0.036310893,0,0.019205762,0.905871762,0,0,0,0,0.029608883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009002701,0,0,0,0,0,0,0,0,0,0,3.09845
0,0,0,0,0,0,0,0,0,0.162802626,0,0.005744768,0.618998769,0,0,0,0,0.206606483,0,0,0,0,0,0,0,0.000307755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005539598,0,0,0,4.61872
0,0,0,0,0,0,0,0,0,0.0078125,0,0.026041667,0.947916667,0,0,0,0,0.010416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0078125,3.8864
0,0,0,0,0,0,0,0,0,0.136885576,0,0.002215955,0.793714746,0,0,0,0,0.066982272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00020145,0,0,0,3.88765
0,0,0,0,0,0,0,0,0,0.133078317,0,0.019830884,0.746124421,0,0,0,0,0.077712905,0,0,0,0,0,0,0,0,0.000301993,0,0.009663781,0,0,0,0,0.009663781,0,0,0,0,0,0,0.003623918,0,0,0,4.61692
0,0,0,0,0,0,0,0,0,0.047561099,0,0.000304229,0.90021296,0,0,0,0,0.032653889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019267823,0,0,0,0,0,0,0,0,0,0,3.61921
0,0,0,0,0,0,0,0,0,0.07669971,0,0.106137979,0.646440372,0,0,0,0,0.109442275,0,0,0,0,0,0,0,0.00020026,0.00010013,0,0.026033844,0,0,0,0,0.034444778,0,0,0,0,0,0,0.000500651,0,0,0,4.51127
0,0,0,0,0,0,0,0,0,0.077298617,0.002441009,0.041598861,0.694060212,0,0,0,0,0.117982099,0,0,0,0,0.001017087,0,0.00396664,0,0,0,0.039564687,0,0,0,0,0.021765663,0,0,0,0,0,0,0.000305126,0,0,0,4.54437
0,0,0,0,0,0,0,0,0,0.068828388,0,0.037422249,0.564698685,0,0,0,0,0.241868053,0,0,0,0,0,0,0,0,0,0,0.037422249,0,0,0,0,0.041500969,0,0,0,0,0,0,0.008259407,0,0,0,5.04383
0,0,0,0,0,0,0,0,0,0.162075528,0,0.038565561,0.337774216,0,0,0,0,0.372332966,0,0,0,0,0,0,0,0,0,0,0.019332866,0,0,0,0,0.033757388,0,0,0,0,0,0,0.036161475,0,0,0,6.21055
0,0,0,0,0,0,0,0,0,0.267814293,0,0.009181012,0.481377152,0,0,0,0,0.234741784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002295253,0,0,0,0,0,0,0.004590506,0,0,0,5.3879
0,0,0,0,0,0,0,0,0,0.096522356,0,0.067018149,0.466186759,0,0,0,0,0.231471155,0,0,0,0,0,0,0,0,0.000304167,0,0.07421677,0,0,0,0,0.058298692,0,0,0,0,0,0.000101389,0.005880564,0,0,0,5.65796
0,0,0,0,0,0,0,0,0,0.108814038,0,0.006050827,0.794372731,0,0,0,0,0.083098023,0,0,0,0,0,0,0.000403388,0,0,0,0.006050827,0,0,0,0,0,0,0,0,0,0,0,0.001210165,0,0,0,5.15754
0,0,0,0,0,0,0,0,0,0.202784318,0,0.057017095,0.296243218,0,0,0,0,0.358071451,0,0,0,0,0,0,0.000102365,0,0.000818917,0,0.027331354,0,0,0,0,0.036441806,0,0,0,0,0,0.000614188,0.020575289,0,0,0,5.73408
0,0,0,0.002688172,0,0,0,0,0,0.427419355,0.008064516,0.01344086,0.25,0,0,0,0,0.244623656,0.005376344,0,0,0,0,0,0,0,0,0,0.002688172,0,0,0,0,0.010752688,0,0,0,0,0,0,0.029569892,0,0,0.005376344,5.74558
0,0,0,0,0,0,0,0,0,0.09352518,0.003597122,0.014388489,0.471223022,0,0,0,0,0.284172662,0.007194245,0,0,0,0,0,0,0,0,0,0.050359712,0,0,0,0,0.035971223,0,0,0,0,0,0,0.025179856,0,0,0.014388489,5.87211
0,0,0,0,0,0,0,0,0,0.093189964,0,0.010752688,0.422939068,0,0,0,0,0.297491039,0.003584229,0,0,0,0,0,0,0,0,0,0.089605735,0,0,0,0,0.032258065,0,0,0,0,0,0,0.025089606,0,0,0.025089606,5.89014
0,0,0,0,0,0,0,0,0,0.15844469,0,0.062393248,0.291268964,0,0,0,0,0.378076962,0,0,0,0,0,0,0,0,0,0,0.04481061,0,0,0,0,0.032050638,0,0,0,0,0,0,0.032954888,0,0,0,6.70857
0,0,0,0,0,0,0,0,0,0.123752292,0.002240782,0.039417397,0.379201467,0,0,0,0,0.353534325,0,0,0,0,0,0,0,0.001120391,0.000407415,0,0.057038093,0,0,0,0,0.032898757,0,0,0,0,0,0,0.010389081,0,0,0,5.95813
0,0,0,0,0,0,0,0,0,0.086666667,0.006666667,0.026666667,0.625,0,0,0,0,0.13,0.011666667,0,0,0,0,0,0,0,0,0,0.055,0,0,0,0,0.033333333,0,0,0.001666667,0,0,0,0.008333333,0,0,0.015,5.70601
0,0,0,0,0,0,0,0,0,0.087458746,0,0.021452145,0.613861386,0,0,0,0,0.132013201,0.004950495,0,0,0,0,0,0,0,0,0,0.070957096,0,0,0,0,0.03960396,0,0,0,0,0,0,0.00330033,0,0,0.02640264,5.70746
0,0,0,0,0,0,0,0,0,0.120218579,0,0.046448087,0.398907104,0,0,0,0,0.199453552,0.010928962,0,0,0,0,0,0,0,0,0,0.163934426,0,0,0,0,0.035519126,0,0,0,0,0,0.00273224,0.013661202,0,0,0.008196721,6.15654
0,0,0,0.002724796,0,0,0,0,0,0.119891008,0.005449591,0.049046322,0.471389646,0,0,0,0,0.204359673,0.008174387,0,0,0,0,0,0,0,0,0,0.076294278,0,0,0,0,0.032697548,0,0,0,0,0,0.002724796,0.013623978,0,0,0.013623978,6.16014
0,0,0,0,0,0,0,0,0,0.399,0,0.072,0.087,0,0,0,0,0.255,0.03,0,0,0,0,0,0,0,0,0,0.036,0,0,0,0,0.009,0,0,0,0,0,0,0.084,0,0,0.028,7.78239
0,0,0.003030303,0,0,0,0,0,0,0.393939394,0.012121212,0.066666667,0.112121212,0,0,0,0,0.278787879,0.015151515,0,0,0,0,0,0,0,0,0,0.012121212,0,0,0,0,0.006060606,0,0,0,0,0,0,0.096969697,0,0,0.003030303,7.78455
0,0,0,0,0,0,0,0,0,0.508,0,0.121,0.094,0,0,0,0,0.148,0.004,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0.008,0,0,0,0,0,0,0.055,0,0,0.027,7.52698
0,0,0,0,0,0,0,0,0,0.521072797,0.030651341,0.084291188,0.114942529,0,0,0,0,0.141762452,0.007662835,0,0,0,0,0,0,0,0,0,0.030651341,0,0,0,0,0,0,0,0,0,0,0,0.0651341,0,0,0.003831418,7.5354
0,0,0,0,0,0.002583979,0,0,0,0.188630491,0,0.010335917,0.142118863,0,0,0,0,0.50129199,0.010335917,0,0,0,0,0.002583979,0,0,0,0,0.023255814,0,0,0,0,0.015503876,0,0,0,0,0,0.005167959,0.062015504,0,0,0.036175711,8.82679
0,0,0,0,0,0.002597403,0,0,0,0.18961039,0,0.015584416,0.127272727,0,0,0,0,0.524675325,0.023376623,0,0,0,0,0.002597403,0,0,0,0,0.018181818,0,0,0,0,0.015584416,0,0,0,0,0,0.002597403,0.067532468,0,0,0.01038961,8.82989
0,0,0,0,0,0,0,0,0,0.172635169,0,0.085966496,0.202628147,0,0,0,0,0.403651319,0,0,0,0,0,0,0,0,0.000802488,0,0.049152372,0,0,0,0,0.047547397,0,0,0,0,0,0,0.037616611,0,0,0,8.60107
0,0,0,0,0,0,0,0,0,0.518796992,0,0.011278195,0.022556391,0,0,0,0,0.360902256,0.018796992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063909774,0,0,0.003759398,9.00845
0,0,0,0,0,0,0,0,0,0.246835443,0.041139241,0.224683544,0.155063291,0,0,0,0,0.234177215,0.018987342,0,0,0,0,0,0,0,0,0,0.041139241,0,0,0,0,0.012658228,0,0,0,0,0,0,0.025316456,0,0,0,7.92631
0,0,0,0,0,0,0,0,0,0.245934959,0,0.022357724,0.044715447,0,0,0,0,0.573170732,0,0,0,0,0,0.00203252,0,0,0,0,0.018292683,0,0,0,0,0.012195122,0,0,0,0,0,0.00203252,0.073170732,0,0,0.006097561,10.0406
0,0,0,0,0,0,0,0,0,0.17409316,0,0.135798727,0.131251895,0,0,0,0,0.435687582,0,0,0,0,0,0,0,0,0,0,0.032231989,0,0,0,0,0.025361221,0,0,0,0,0,0,0.065575427,0,0,0,10.7459
0,0,0,0.01001001,0,0,0,0,0,0.218218218,0,0.047047047,0.017017017,0,0,0,0,0.531531532,0.003003003,0,0,0,0,0.003003003,0,0,0,0,0.02002002,0,0,0,0,0.02002002,0,0,0,0,0,0.003003003,0.112112112,0,0,0.014014014,11.5044
0,0,0,0.009868421,0,0,0,0,0,0.230263158,0,0.059210526,0.023026316,0,0,0,0,0.513157895,0.009868421,0,0,0,0,0.003289474,0,0,0,0,0.019736842,0,0,0,0,0.019736842,0,0,0,0,0,0.003289474,0.108552632,0,0,0,11.5076
0,0,0,0,0,0,0,0,0,0.149373434,0.001704261,0.123809524,0.098746867,0,0,0,0,0.438496241,0.003308271,0,0,0.001704261,0,0.000802005,0,0.001704261,0.000802005,0,0.078696742,0,0,0,0,0.045213033,0,0,0,0,0,0,0.055639098,0,0,0,9.48796
0,0,0,0,0,0,0,0,0,0.140243902,0.018292683,0.112804878,0.033536585,0,0,0,0,0.405487805,0.021341463,0,0,0,0,0.00304878,0,0.00304878,0,0,0.109756098,0,0,0,0,0.045731707,0,0,0,0,0,0.00304878,0.094512195,0,0,0.009146341,11.4603
0,0,0,0,0,0,0,0,0,0.140243902,0,0.12195122,0.027439024,0,0,0,0,0.402439024,0.018292683,0,0,0,0,0.00304878,0,0.00304878,0,0,0.103658537,0,0,0,0,0.045731707,0,0,0,0,0,0.00304878,0.091463415,0,0,0.039634146,11.4622
0,0,0,0,0,0,0,0,0,0.284623218,0,0.086965377,0.053564155,0,0,0,0,0.423828921,0.001629328,0,0,0.003360489,0,0.006008147,0.001629328,0,0,0,0.036761711,0,0,0,0,0.018431772,0,0,0,0,0,0.000814664,0.082382892,0,0,0,12.3381
0,0,0,0,0,0,0,0,0,0.275707138,0,0.124783008,0.039824364,0,0,0,0,0.396711937,0,0,0,0.001838048,0.003471868,0.005514143,0.001735934,0.00081691,0,0,0.027774941,0,0.003471868,0,0,0.034616563,0,0,0,0,0,0.003573981,0.080159297,0,0,0,12.9542
0,0,0,0,0,0,0,0,0,0.288101953,0.003342735,0.180612138,0.05661757,0.000835684,0,0,0,0.32800585,0,0,0,0.005849786,0,0.003447195,0,0.00459626,0.000731223,0,0.043246631,0,0.001671367,0,0,0.028308785,0,0,0,0,0,0.001671367,0.050454403,0.000835684,0.001671367,0,12.9968
0,0,0,0.009,0,0.003,0,0,0,0.294,0,0.123,0.006,0,0,0,0,0.282,0.051,0,0,0,0,0.006,0,0,0,0,0.06,0,0,0,0,0.045,0,0,0,0,0,0,0.096,0,0,0.025,13.0462
0,0,0,0.008849558,0,0.002949853,0,0,0,0.292035398,0.017699115,0.103244838,0.008849558,0,0,0,0,0.277286136,0.061946903,0,0,0.002949853,0,0.005899705,0,0,0.002949853,0,0.056047198,0,0,0,0,0.03539823,0,0,0,0,0,0,0.115044248,0,0,0.008849558,13.033
0,0,0,0,0.005195345,0,0,0,0,0.382481297,0.011637573,0.190773067,0.014443059,0.000831255,0,0,0,0.28283458,0.002909393,0.000103907,0,0.005195345,0,0.009663342,0,0.005195345,0.001142976,0,0.005818786,0,0,0,0,0.009351621,0,0,0,0,0,0.002389859,0.063902743,0.000935162,0.005195345,0,13.6234
0,0,0,0,0,0,0,0,0,0.29029029,0,0.142142142,0.085085085,0,0,0,0,0.343343343,0,0,0,0,0,0,0,0,0,0,0.051051051,0,0.002002002,0,0,0.027027027,0,0,0,0,0,0,0.043043043,0,0.002002002,0.014014014,8.43389
0,0,0,0,0,0,0,0,0,0.3,0.033333333,0.111904762,0.083333333,0,0,0,0,0.330952381,0.002380952,0,0,0,0,0,0,0,0,0,0.047619048,0,0.002380952,0,0,0.026190476,0,0,0,0,0,0,0.047619048,0,0.002380952,0.011904762,8.43531
0,0,0,0.01686747,0,0.002409639,0,0,0,0.306024096,0.01686747,0.339759036,0.007228916,0,0,0,0,0.120481928,0.026506024,0,0,0.019277108,0,0.007228916,0,0,0,0,0.014457831,0,0,0,0,0.014457831,0,0,0,0,0,0,0.101204819,0,0,0.007228916,14.2747
0,0,0,0.069053708,0,0.017902813,0,0,0,0.41943734,0,0.058823529,0.015345269,0,0,0,0,0.076726343,0.138107417,0,0,0,0,0.00511509,0,0,0,0,0.015345269,0,0,0,0,0.112531969,0,0,0,0,0,0,0.05370844,0,0,0.017902813,13.475
0,0,0,0.003546099,0,0.010638298,0,0,0,0.141843972,0.053191489,0.535460993,0.042553191,0,0,0,0,0.173758865,0.014184397,0,0,0.003546099,0,0.003546099,0,0,0.003546099,0,0.003546099,0,0,0,0,0,0,0,0,0,0,0.003546099,0.007092199,0,0,0,15.1248
0,0,0,0.00877193,0,0.011695906,0,0,0,0.269005848,0.052631579,0.143274854,0.00877193,0,0,0,0,0.17251462,0.122807018,0,0,0.014619883,0,0,0,0.00877193,0.014619883,0,0.023391813,0,0,0,0,0.046783626,0,0,0,0,0,0.005847953,0.067251462,0.002923977,0,0.026315789,15.7975
0,0,0,0.002906977,0.01744186,0,0,0,0,0.270348837,0.023255814,0.174418605,0.00872093,0,0,0,0,0.183139535,0.104651163,0,0,0.020348837,0,0,0,0.011627907,0.01744186,0,0.023255814,0,0.002906977,0,0,0.049418605,0,0,0,0,0,0.005813953,0.066860465,0,0.002906977,0.014534884,15.7975
